[0712/152533:ERROR:process_info.cc(608)] range at 0xff308000, size 0x230 fully unreadable
[0721/164510:ERROR:process_info.cc(608)] range at 0xfea16000, size 0xf84 fully unreadable
[0721/164510:ERROR:process_info.cc(608)] range at 0xfe8ef000, size 0xf84 fully unreadable
[0721/164510:ERROR:process_info.cc(608)] range at 0xfe8ec000, size 0xf84 fully unreadable
[0721/164510:ERROR:process_info.cc(608)] range at 0xfe8e9000, size 0xf84 fully unreadable
[0721/164513:ERROR:process_info.cc(608)] range at 0xff5ef000, size 0x230 fully unreadable
[0721/164513:ERROR:process_info.cc(608)] range at 0xff5ee000, size 0xf84 fully unreadable
[0721/164513:ERROR:process_info.cc(608)] range at 0xff5e6000, size 0xf84 fully unreadable
[0721/164513:ERROR:process_info.cc(608)] range at 0xff5bf000, size 0xf84 fully unreadable
[0721/164513:ERROR:process_info.cc(608)] range at 0xff5bc000, size 0xf84 fully unreadable
[0721/164513:ERROR:process_info.cc(608)] range at 0xff5b9000, size 0xf84 fully unreadable
[0721/164513:ERROR:process_info.cc(608)] range at 0xff5b6000, size 0xf84 fully unreadable
[0721/164513:ERROR:process_info.cc(608)] range at 0xff48f000, size 0xf84 fully unreadable
[0721/164513:ERROR:process_info.cc(608)] range at 0xff48c000, size 0xf84 fully unreadable
[0721/164535:ERROR:process_info.cc(608)] range at 0xff9bf000, size 0x230 fully unreadable
[0721/164535:ERROR:process_info.cc(608)] range at 0xff9be000, size 0xf84 fully unreadable
[0721/164535:ERROR:process_info.cc(608)] range at 0xff9b7000, size 0xf84 fully unreadable
[0721/164535:ERROR:process_info.cc(608)] range at 0xff98f000, size 0xf84 fully unreadable
[0721/164535:ERROR:process_info.cc(608)] range at 0xff98c000, size 0xf84 fully unreadable
[0721/164535:ERROR:process_info.cc(608)] range at 0xff989000, size 0xf84 fully unreadable
[0721/164535:ERROR:process_info.cc(608)] range at 0xff986000, size 0xf84 fully unreadable
[0721/164535:ERROR:process_info.cc(608)] range at 0xff85f000, size 0xf84 fully unreadable
[0721/164535:ERROR:process_info.cc(608)] range at 0xff85c000, size 0xf84 fully unreadable
[0721/164535:ERROR:process_info.cc(608)] range at 0xff859000, size 0xf84 fully unreadable
[0721/165001:ERROR:process_info.cc(608)] range at 0xfeb4f000, size 0x230 fully unreadable
[0721/165001:ERROR:process_info.cc(608)] range at 0xfeb4e000, size 0xf84 fully unreadable
[0721/165001:ERROR:process_info.cc(608)] range at 0xfeb45000, size 0xf84 fully unreadable
[0721/165001:ERROR:process_info.cc(608)] range at 0xfeb1f000, size 0xf84 fully unreadable
[0721/165001:ERROR:process_info.cc(608)] range at 0xfeb1c000, size 0xf84 fully unreadable
[0721/165001:ERROR:process_info.cc(608)] range at 0xfeb19000, size 0xf84 fully unreadable
[0721/165001:ERROR:process_info.cc(608)] range at 0xfeb16000, size 0xf84 fully unreadable
[0721/165001:ERROR:process_info.cc(608)] range at 0xfe9ef000, size 0xf84 fully unreadable
[0721/165001:ERROR:process_info.cc(608)] range at 0xfe9ec000, size 0xf84 fully unreadable
[0721/165001:ERROR:process_info.cc(608)] range at 0xfe9e9000, size 0xf84 fully unreadable
[0721/165056:ERROR:process_info.cc(608)] range at 0xfeb3f000, size 0x230 fully unreadable
[0721/165056:ERROR:process_info.cc(608)] range at 0xfeb3e000, size 0xf84 fully unreadable
[0721/165056:ERROR:process_info.cc(608)] range at 0xfeb37000, size 0xf84 fully unreadable
[0721/165056:ERROR:process_info.cc(608)] range at 0xfeb0f000, size 0xf84 fully unreadable
[0721/165056:ERROR:process_info.cc(608)] range at 0xfeb0c000, size 0xf84 fully unreadable
[0721/165056:ERROR:process_info.cc(608)] range at 0xfeb09000, size 0xf84 fully unreadable
[0721/165056:ERROR:process_info.cc(608)] range at 0xfeb06000, size 0xf84 fully unreadable
[0721/165056:ERROR:process_info.cc(608)] range at 0xfe9df000, size 0xf84 fully unreadable
[0721/165056:ERROR:process_info.cc(608)] range at 0xfe9dc000, size 0xf84 fully unreadable
[0721/165056:ERROR:process_info.cc(608)] range at 0xfe9d9000, size 0xf84 fully unreadable
[0721/165211:ERROR:process_info.cc(608)] range at 0xfe74f000, size 0x230 fully unreadable
[0721/165211:ERROR:process_info.cc(608)] range at 0xfe74e000, size 0xf84 fully unreadable
[0721/165211:ERROR:process_info.cc(608)] range at 0xfe746000, size 0xf84 fully unreadable
[0721/165211:ERROR:process_info.cc(608)] range at 0xfe71f000, size 0xf84 fully unreadable
[0721/165211:ERROR:process_info.cc(608)] range at 0xfe71c000, size 0xf84 fully unreadable
[0721/165211:ERROR:process_info.cc(608)] range at 0xfe719000, size 0xf84 fully unreadable
[0721/165211:ERROR:process_info.cc(608)] range at 0xfe716000, size 0xf84 fully unreadable
[0721/165211:ERROR:process_info.cc(608)] range at 0xfe5ef000, size 0xf84 fully unreadable
[0721/165211:ERROR:process_info.cc(608)] range at 0xfe5ec000, size 0xf84 fully unreadable
[0721/165211:ERROR:process_info.cc(608)] range at 0xfe5e9000, size 0xf84 fully unreadable
[0721/165232:ERROR:process_info.cc(608)] range at 0xfee3e000, size 0x230 fully unreadable
[0721/165232:ERROR:process_info.cc(608)] range at 0xfee3d000, size 0xf84 fully unreadable
[0721/165232:ERROR:process_info.cc(608)] range at 0xfee37000, size 0xf84 fully unreadable
[0721/165232:ERROR:process_info.cc(608)] range at 0xfee0f000, size 0xf84 fully unreadable
[0721/165232:ERROR:process_info.cc(608)] range at 0xfee0c000, size 0xf84 fully unreadable
[0721/165232:ERROR:process_info.cc(608)] range at 0xfee09000, size 0xf84 fully unreadable
[0721/165232:ERROR:process_info.cc(608)] range at 0xfee06000, size 0xf84 fully unreadable
[0721/165232:ERROR:process_info.cc(608)] range at 0xfecdf000, size 0xf84 fully unreadable
[0721/165232:ERROR:process_info.cc(608)] range at 0xfecdc000, size 0xf84 fully unreadable
[0721/165232:ERROR:process_info.cc(608)] range at 0xfecd9000, size 0xf84 fully unreadable
[0721/165248:ERROR:process_info.cc(608)] range at 0xfea33000, size 0x230 fully unreadable
[0721/165248:ERROR:process_info.cc(608)] range at 0xfea3f000, size 0xf84 fully unreadable
[0721/165248:ERROR:process_info.cc(608)] range at 0xfea36000, size 0xf84 fully unreadable
[0721/165248:ERROR:process_info.cc(608)] range at 0xfea0f000, size 0xf84 fully unreadable
[0721/165248:ERROR:process_info.cc(608)] range at 0xfea0c000, size 0xf84 fully unreadable
[0721/165248:ERROR:process_info.cc(608)] range at 0xfea09000, size 0xf84 fully unreadable
[0721/165248:ERROR:process_info.cc(608)] range at 0xfea06000, size 0xf84 fully unreadable
[0721/165248:ERROR:process_info.cc(608)] range at 0xfe8df000, size 0xf84 fully unreadable
[0721/165248:ERROR:process_info.cc(608)] range at 0xfe8dc000, size 0xf84 fully unreadable
[0721/165253:ERROR:process_info.cc(608)] range at 0xff42c000, size 0x230 fully unreadable
[0721/165253:ERROR:process_info.cc(608)] range at 0xff42b000, size 0xf84 fully unreadable
[0721/165253:ERROR:process_info.cc(608)] range at 0xff425000, size 0xf84 fully unreadable
[0721/165253:ERROR:process_info.cc(608)] range at 0xff3ff000, size 0xf84 fully unreadable
[0721/165253:ERROR:process_info.cc(608)] range at 0xff3fc000, size 0xf84 fully unreadable
[0721/165253:ERROR:process_info.cc(608)] range at 0xff3f9000, size 0xf84 fully unreadable
[0721/165253:ERROR:process_info.cc(608)] range at 0xff3f6000, size 0xf84 fully unreadable
[0721/165253:ERROR:process_info.cc(608)] range at 0xff2cf000, size 0xf84 fully unreadable
[0721/165253:ERROR:process_info.cc(608)] range at 0xff2cc000, size 0xf84 fully unreadable
[0721/165253:ERROR:process_info.cc(608)] range at 0xff2c9000, size 0xf84 fully unreadable
[0721/165338:ERROR:process_info.cc(608)] range at 0xff91f000, size 0x230 fully unreadable
[0721/165338:ERROR:process_info.cc(608)] range at 0xff91c000, size 0xf84 fully unreadable
[0721/165338:ERROR:process_info.cc(608)] range at 0xff916000, size 0xf84 fully unreadable
[0721/165338:ERROR:process_info.cc(608)] range at 0xff8ef000, size 0xf84 fully unreadable
[0721/165338:ERROR:process_info.cc(608)] range at 0xff8ec000, size 0xf84 fully unreadable
[0721/165338:ERROR:process_info.cc(608)] range at 0xff8e9000, size 0xf84 fully unreadable
[0721/165338:ERROR:process_info.cc(608)] range at 0xff8e6000, size 0xf84 fully unreadable
[0721/165338:ERROR:process_info.cc(608)] range at 0xff7bf000, size 0xf84 fully unreadable
[0721/165338:ERROR:process_info.cc(608)] range at 0xff7bc000, size 0xf84 fully unreadable
[0721/165338:ERROR:process_info.cc(608)] range at 0xff7b9000, size 0xf84 fully unreadable
[0721/170341:ERROR:process_info.cc(608)] range at 0xfe40e000, size 0x230 fully unreadable
[0721/170341:ERROR:process_info.cc(608)] range at 0xfe40d000, size 0xf84 fully unreadable
[0721/170341:ERROR:process_info.cc(608)] range at 0xfe407000, size 0xf84 fully unreadable
[0721/170341:ERROR:process_info.cc(608)] range at 0xfe3df000, size 0xf84 fully unreadable
[0721/170341:ERROR:process_info.cc(608)] range at 0xfe3dc000, size 0xf84 fully unreadable
[0721/170341:ERROR:process_info.cc(608)] range at 0xfe3d9000, size 0xf84 fully unreadable
[0721/170341:ERROR:process_info.cc(608)] range at 0xfe3d6000, size 0xf84 fully unreadable
[0721/170341:ERROR:process_info.cc(608)] range at 0xfe2af000, size 0xf84 fully unreadable
[0721/170341:ERROR:process_info.cc(608)] range at 0xfe2ac000, size 0xf84 fully unreadable
[0721/170341:ERROR:process_info.cc(608)] range at 0xfe2a9000, size 0xf84 fully unreadable
[0721/170349:ERROR:process_info.cc(608)] range at 0xfe959000, size 0x230 fully unreadable
[0721/170349:ERROR:process_info.cc(608)] range at 0xfe95f000, size 0xf84 fully unreadable
[0721/170349:ERROR:process_info.cc(608)] range at 0xfe958000, size 0xf84 fully unreadable
[0721/170349:ERROR:process_info.cc(608)] range at 0xfe92f000, size 0xf84 fully unreadable
[0721/170349:ERROR:process_info.cc(608)] range at 0xfe92c000, size 0xf84 fully unreadable
[0721/170349:ERROR:process_info.cc(608)] range at 0xfe929000, size 0xf84 fully unreadable
[0721/170349:ERROR:process_info.cc(608)] range at 0xfe926000, size 0xf84 fully unreadable
[0721/170349:ERROR:process_info.cc(608)] range at 0xfe7ff000, size 0xf84 fully unreadable
[0721/170349:ERROR:process_info.cc(608)] range at 0xfe7fc000, size 0xf84 fully unreadable
[0721/170352:ERROR:process_info.cc(608)] range at 0xfff19000, size 0x230 fully unreadable
[0721/170352:ERROR:process_info.cc(608)] range at 0xfff1c000, size 0xf84 fully unreadable
[0721/170352:ERROR:process_info.cc(608)] range at 0xfff15000, size 0xf84 fully unreadable
[0721/170352:ERROR:process_info.cc(608)] range at 0xffeef000, size 0xf84 fully unreadable
[0721/170352:ERROR:process_info.cc(608)] range at 0xffeec000, size 0xf84 fully unreadable
[0721/170352:ERROR:process_info.cc(608)] range at 0xffee9000, size 0xf84 fully unreadable
[0721/170352:ERROR:process_info.cc(608)] range at 0xffee6000, size 0xf84 fully unreadable
[0721/170352:ERROR:process_info.cc(608)] range at 0xffdbf000, size 0xf84 fully unreadable
[0721/170352:ERROR:process_info.cc(608)] range at 0xffdbc000, size 0xf84 fully unreadable
[0721/170355:ERROR:process_info.cc(608)] range at 0xff77f000, size 0x230 fully unreadable
[0721/170356:ERROR:process_info.cc(608)] range at 0xff77e000, size 0xf84 fully unreadable
[0721/170356:ERROR:process_info.cc(608)] range at 0xff776000, size 0xf84 fully unreadable
[0721/170356:ERROR:process_info.cc(608)] range at 0xff74f000, size 0xf84 fully unreadable
[0721/170356:ERROR:process_info.cc(608)] range at 0xff74c000, size 0xf84 fully unreadable
[0721/170356:ERROR:process_info.cc(608)] range at 0xff749000, size 0xf84 fully unreadable
[0721/170356:ERROR:process_info.cc(608)] range at 0xff746000, size 0xf84 fully unreadable
[0721/170356:ERROR:process_info.cc(608)] range at 0xff61f000, size 0xf84 fully unreadable
[0721/170356:ERROR:process_info.cc(608)] range at 0xff61c000, size 0xf84 fully unreadable
[0721/171047:ERROR:process_info.cc(608)] range at 0xff4ec000, size 0x230 fully unreadable
[0721/171047:ERROR:process_info.cc(608)] range at 0xff4eb000, size 0xf84 fully unreadable
[0721/171047:ERROR:process_info.cc(608)] range at 0xff4e5000, size 0xf84 fully unreadable
[0721/171047:ERROR:process_info.cc(608)] range at 0xff4bf000, size 0xf84 fully unreadable
[0721/171047:ERROR:process_info.cc(608)] range at 0xff4bc000, size 0xf84 fully unreadable
[0721/171047:ERROR:process_info.cc(608)] range at 0xff4b9000, size 0xf84 fully unreadable
[0721/171047:ERROR:process_info.cc(608)] range at 0xff4b6000, size 0xf84 fully unreadable
[0721/171047:ERROR:process_info.cc(608)] range at 0xff38f000, size 0xf84 fully unreadable
[0721/171047:ERROR:process_info.cc(608)] range at 0xff38c000, size 0xf84 fully unreadable
[0721/171047:ERROR:process_info.cc(608)] range at 0xff389000, size 0xf84 fully unreadable
[0721/172728:ERROR:process_info.cc(608)] range at 0xfee99000, size 0x230 fully unreadable
[0721/172728:ERROR:process_info.cc(608)] range at 0xfee9e000, size 0xf84 fully unreadable
[0721/172728:ERROR:process_info.cc(608)] range at 0xfee95000, size 0xf84 fully unreadable
[0721/172728:ERROR:process_info.cc(608)] range at 0xfee6f000, size 0xf84 fully unreadable
[0721/172728:ERROR:process_info.cc(608)] range at 0xfee6c000, size 0xf84 fully unreadable
[0721/172728:ERROR:process_info.cc(608)] range at 0xfee69000, size 0xf84 fully unreadable
[0721/172728:ERROR:process_info.cc(608)] range at 0xfee66000, size 0xf84 fully unreadable
[0721/172728:ERROR:process_info.cc(608)] range at 0xfed3f000, size 0xf84 fully unreadable
[0721/172728:ERROR:process_info.cc(608)] range at 0xfed3c000, size 0xf84 fully unreadable
[0721/172728:ERROR:process_info.cc(608)] range at 0xfed39000, size 0xf84 fully unreadable
[0721/172910:ERROR:process_info.cc(608)] range at 0xfe78e000, size 0x230 fully unreadable
[0721/172910:ERROR:process_info.cc(608)] range at 0xfe78d000, size 0xf84 fully unreadable
[0721/172910:ERROR:process_info.cc(608)] range at 0xfe787000, size 0xf84 fully unreadable
[0721/172910:ERROR:process_info.cc(608)] range at 0xfe75f000, size 0xf84 fully unreadable
[0721/172910:ERROR:process_info.cc(608)] range at 0xfe75c000, size 0xf84 fully unreadable
[0721/172910:ERROR:process_info.cc(608)] range at 0xfe759000, size 0xf84 fully unreadable
[0721/172910:ERROR:process_info.cc(608)] range at 0xfe756000, size 0xf84 fully unreadable
[0721/172910:ERROR:process_info.cc(608)] range at 0xfe62f000, size 0xf84 fully unreadable
[0721/172910:ERROR:process_info.cc(608)] range at 0xfe62c000, size 0xf84 fully unreadable
[0721/172910:ERROR:process_info.cc(608)] range at 0xfe629000, size 0xf84 fully unreadable
[0721/172941:ERROR:process_info.cc(608)] range at 0xfe8eb000, size 0x230 fully unreadable
[0721/172941:ERROR:process_info.cc(608)] range at 0xfe8ef000, size 0xf84 fully unreadable
[0721/172941:ERROR:process_info.cc(608)] range at 0xfe8e5000, size 0xf84 fully unreadable
[0721/172941:ERROR:process_info.cc(608)] range at 0xfe8bf000, size 0xf84 fully unreadable
[0721/172941:ERROR:process_info.cc(608)] range at 0xfe8bc000, size 0xf84 fully unreadable
[0721/172941:ERROR:process_info.cc(608)] range at 0xfe8b9000, size 0xf84 fully unreadable
[0721/172941:ERROR:process_info.cc(608)] range at 0xfe8b6000, size 0xf84 fully unreadable
[0721/172941:ERROR:process_info.cc(608)] range at 0xfe78f000, size 0xf84 fully unreadable
[0721/172941:ERROR:process_info.cc(608)] range at 0xfe78c000, size 0xf84 fully unreadable
[0721/172941:ERROR:process_info.cc(608)] range at 0xfe789000, size 0xf84 fully unreadable
[0721/173007:ERROR:process_info.cc(608)] range at 0xfef86000, size 0x230 fully unreadable
[0721/173007:ERROR:process_info.cc(608)] range at 0xfef8f000, size 0xf84 fully unreadable
[0721/173007:ERROR:process_info.cc(608)] range at 0xfef5f000, size 0xf84 fully unreadable
[0721/173007:ERROR:process_info.cc(608)] range at 0xfef5c000, size 0xf84 fully unreadable
[0721/173007:ERROR:process_info.cc(608)] range at 0xfef59000, size 0xf84 fully unreadable
[0721/173007:ERROR:process_info.cc(608)] range at 0xfef56000, size 0xf84 fully unreadable
[0721/173007:ERROR:process_info.cc(608)] range at 0xfee2f000, size 0xf84 fully unreadable
[0721/173007:ERROR:process_info.cc(608)] range at 0xfee2c000, size 0xf84 fully unreadable
[0721/173007:ERROR:process_info.cc(608)] range at 0xfee29000, size 0xf84 fully unreadable
[0721/173007:ERROR:process_info.cc(608)] range at 0xfee26000, size 0xf84 fully unreadable
[0721/175338:ERROR:process_info.cc(608)] range at 0xff148000, size 0x230 fully unreadable
[0721/175338:ERROR:process_info.cc(608)] range at 0xff14f000, size 0xf84 fully unreadable
[0721/175338:ERROR:process_info.cc(608)] range at 0xff145000, size 0xf84 fully unreadable
[0721/175338:ERROR:process_info.cc(608)] range at 0xff11f000, size 0xf84 fully unreadable
[0721/175338:ERROR:process_info.cc(608)] range at 0xff11c000, size 0xf84 fully unreadable
[0721/175338:ERROR:process_info.cc(608)] range at 0xff119000, size 0xf84 fully unreadable
[0721/175338:ERROR:process_info.cc(608)] range at 0xff116000, size 0xf84 fully unreadable
[0721/175338:ERROR:process_info.cc(608)] range at 0xfefef000, size 0xf84 fully unreadable
[0721/175338:ERROR:process_info.cc(608)] range at 0xfefec000, size 0xf84 fully unreadable
[0721/175441:ERROR:process_info.cc(608)] range at 0xfeaed000, size 0x230 fully unreadable
[0721/175442:ERROR:process_reader_win.cc(172)] ResumeThread: The operation completed successfully. (0x0)
[0721/175442:ERROR:process_reader_win.cc(113)] NtOpenThread: An invalid Client ID was specified.  (0xc000000b)
[0721/175442:ERROR:process_reader_win.cc(113)] NtOpenThread: An invalid Client ID was specified.  (0xc000000b)
[0721/175442:ERROR:process_reader_win.cc(113)] NtOpenThread: An invalid Client ID was specified.  (0xc000000b)
[0721/175442:ERROR:process_reader_win.cc(113)] NtOpenThread: An invalid Client ID was specified.  (0xc000000b)
[0721/175442:ERROR:process_reader_win.cc(113)] NtOpenThread: An invalid Client ID was specified.  (0xc000000b)
[0721/175442:ERROR:process_reader_win.cc(113)] NtOpenThread: An invalid Client ID was specified.  (0xc000000b)
[0721/175442:ERROR:process_reader_win.cc(113)] NtOpenThread: An invalid Client ID was specified.  (0xc000000b)
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0xea0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x77650000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\ntdll.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x758a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\KERNELBASE.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x75ae0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\KERNEL32.DLL
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x75690000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\msvcrt.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x74ff0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\bcryptPrimitives.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x75050000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\CRYPTBASE.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x75060000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\SspiCli.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x76020000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\RPCRT4.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x750b0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\sechost.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x75a60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\ADVAPI32.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x71fc0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\51.0.2704.103\chrome_elf.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x74d10000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\VERSION.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x750f0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\cfgmgr32.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x70e60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\DEVOBJ.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x70280000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\WINMMBASE.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x75c20000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\GDI32.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x75130000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\USER32.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x714e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Kaspersky Lab\Kaspersky Anti-Virus 16.0.0\inproc_agent.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x74bf0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Kaspersky Lab\Kaspersky Anti-Virus 16.0.0\product_info.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x714a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\ProgramData\Kaspersky Lab\AVP16.0.0\Bases\klsihk.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x75f10000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\MSCTF.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x75080000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\system32\IMM32.DLL
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x704b0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\WINMM.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x74c90000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\profapi.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x74cf0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\USERENV.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x74d80000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\WTSAPI32.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x75290000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\combase.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x73d00000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\WINHTTP.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x75630000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\SHLWAPI.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x763c0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\SHELL32.dll
[0721/175442:ERROR:process_reader_win.cc(232)] ReadMemory at 0x72a30000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0721/175442:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\windows\SYSTEM32\shcore.dll
